t,u
0.0,0.5984807753012208
1e-05,0.552487986581726
2e-05,0.4712979064834667
3.0000000000000004e-05,0.4093548201160298
4e-05,0.4081964011788997
5e-05,0.4685994599771423
6.000000000000001e-05,0.5500590314864263
7.000000000000001e-05,0.597950115573868
8e-05,0.5801580027440671
9e-05,0.5086136932181751
0.0001,0.4312932301418828
0.00011,0.40004601841091464
0.00012000000000000002,0.43582575215023733
0.00013000000000000002,0.5146393274918504
0.00014000000000000001,0.5836360912375849
0.00015000000000000001,0.5965483285081677
0.00016,0.5447173764902178
0.00017,0.462899933609841
0.00018,0.40596098068397435
0.00019,0.41208252939662504
0.0002,0.4771596035854293
0.00021,0.5575529461275335
0.00022,0.599352546625389
0.00023,0.5745285107345399
0.00024000000000000003,0.4997272918884149
0.00025,0.42510894511435693
0.00026000000000000003,0.4007108954433076
0.00027,0.4428939393026245
0.00028000000000000003,0.523371053648515
0.00029,0.5881760525510991
0.00030000000000000003,0.5938521266007948
0.00031,0.5365930251634023
0.00032,0.4547954444855967
0.00033000000000000005,0.40331104622736513
0.00034,0.4166641374724585
0.00035000000000000005,0.4859004284115511
0.00036,0.564591582488548
0.00037000000000000005,0.5999690395174582
0.00038,0.568309453559922
0.00039000000000000005,0.4908430478431795
0.0004,0.41951709319333363
0.00041000000000000005,0.4021612087703851
0.00042,0.45041386960365287
0.00043000000000000004,0.5319179007707434
0.00044,0.5920184884683997
0.00045000000000000004,0.5904134981513083
0.00046,0.5281792010870433
0.00047000000000000004,0.4470485504745785
0.00048000000000000007,0.4014259793151572
0.0004900000000000001,0.42190498214197647
